area_sqm,rooms,floor,floor_count,build_year,latitude,longitude,distance_to_center,poi_count,distance_to_school,distance_to_healthcare,distance_to_post_office,distance_to_kindergarten,distance_to_restaurant,distance_to_college,distance_to_pharmacy,has_parking,has_balcony,has_elevator,has_security,has_storage,price,listing_year,listing_month
55.75,2,4,4,,51.7735,19.4152,2.86,5,0.291,0.101,0.449,0.119,0.891,1.404,0.465,1,1,1,1,1,325000,2023,8
63,3,4,4,1986,51.8196,19.4433,4.31,11,0.48,0.375,0.147,0.055,0.213,3.58,0.048,1,1,1,1,1,410000,2023,8
45,2,4,4,,51.7887,19.436,1.52,20,0.139,0.07,0.407,0.252,0.233,0.729,0.082,1,1,1,1,1,279000,2023,8
42.42,2,3,4,1977,51.7448,19.3866,6.22,18,0.292,0.729,0.253,0.271,0.086,4.594,0.088,1,1,1,1,1,275000,2023,8
45,2,4,4,,51.7978,19.4353,2.25,17,0.193,1.028,0.083,0.065,0.219,1.551,0.229,1,1,1,1,1,300000,2023,8
48.29,3,,3,2015,51.7786,19.3872,4.66,7,0.194,2.109,0.126,0.716,0.064,1.338,0.065,1,1,1,1,0,310000,2023,8
39.5,2,1,4,,51.7731,19.4587,0.97,44,0.177,0.437,0.208,0.154,0.188,0.866,0.209,1,1,1,1,1,235000,2023,8
80,3,4,4,,51.70359,19.47501,8.78,3,0.197,1.656,1.563,0.33,1.259,2.964,0.4,1,1,1,1,1,620000,2023,8
85,3,5,5,2009,51.751862,19.471191,3.48,6,0.371,0.414,0.823,0.409,0.373,1.015,0.145,1,1,1,1,0,799000,2023,8
55,2,2,3,,51.7841,19.4255,2.03,13,0.336,0.821,0.224,0.072,0.545,0.498,0.433,1,1,1,1,1,390000,2023,8
123.42,6,3,4,1934,51.76665,19.44461,1.79,14,0.403,0.413,0.336,0.197,0.207,1.581,0.288,1,1,1,1,1,628000,2023,8
47.3,3,2,11,,51.77404,19.42781,2.03,13,0.348,0.778,0.309,0.297,0.277,1.457,0.082,1,1,1,1,1,380000,2023,8
36.89,2,2,4,2022,51.7480434,19.4752584,3.98,5,0.318,0.103,0.842,0.668,0.527,1.222,0.465,1,1,1,1,0,332010,2023,8
109,5,3,4,2010,51.7936,19.43669,1.83,12,0.229,0.573,0.517,0.132,0.313,1.1,0.35,1,1,1,1,0,759000,2023,8
58.45,2,1,2,1950,51.7917,19.4697,1.53,17,0.226,1.069,0.47,0.278,0.36,1.359,0.47,1,1,1,1,0,297000,2023,8
